<A> and then his mum got ill <B> and then his mum got really ill he dropped he <C> mm 	they are talking about fathers	Contradiction
<B> so it seemed to be a bit of a stopgap bit like when dad <A> yeah <C> yeah 	they are not sure about dad	Neutral
<C> yeah <B> it's like if you don't if you don't let me take this time i won't come back <A> it's stupid though like i just 	they are not sure about time	Neutral
<C> i had that <A> they reap the benefit of it <C> i had that 	they are talking about stress	Entailment
<C> but i i was paid for it and i got bonuses and everything and it was good money <A> yeah <C> in the early eighties early to mid-eighties 	they are talking about eighties	Entailment
<C> well that's no different to what <B> mm <A> i just 	some people are moving to cisco	Entailment
<B> yeah it's cisco training so you have to stay technical <C> what <C> oh 	it's easier to get a job in cisco with a specialisation	Entailment
<C> yeah <B> my my big one's based in <C> yeah 	speaker b can handle having 6 customers	Neutral
<C> lovely <B> er and their technical <C> didn't you have the use of a company car for that? 	speaker b had the use of a company car	Neutral
<B> no <C> have you claimed for mileage for using <B> no 	speaker b enjoys their job	Neutral
<C> he's mentioned this? <A> yeah i did i did all of this as well why isn't she getting a taxi? <B> anyhow er and her technical director who's a big guy 	speaker b is wealthy	Neutral
<A> but just to explain the logic i kind of wanted to like fixate on the house-sitting until like maybe mid-july <B> mm <A> and then in the summer i wanted to be either by the sea a bit by the sea so either if there's a house in cornwall or even like living at my mum and dad's because it's by the sea and hanging out 	speaker a has absolutely no plans	Contradiction
<A> oh is it just a junction? <B> mm <A> i didn't really want volunteering to start already at the beginning of june but maybe that's too rigid because what i could do is no you see i just feel like it's too 	speaker a wants to go to the sea	Entailment
<A> erm <B> mm <A> i feel like may is too soon i don't wanna already be going to denmark in may 	speaker a will never go to denmark	Contradiction
<A> oh i'm gonna have to go may because there's wales and then <B> yeah <A> do the wales thing because i did wanna go to wales and it's june so that and it's near the sea 	speaker a will have to leave in may	Entailment
<B> but the september <A> and also er sorry it's boring but <B> no go on 	speaker a wants to go learn danish	Neutral
<B> not her no you're more like the <A> now i'm <A> yes but the thing is i'm attracted to her character 	along came polly was originally a book.	Neutral
<B> you completely can <A> erm but you <B> mm 	speaker a thinks that speaker b is incapable of teaching him/herself.	Contradiction
<A> i can't suddenly be good at basically what we were doing in <B> yeah <A> against my natural 	speaker a is good at cooking.	Neutral
<B> yeah <A> so i could get to the other end of my scale towards along came polly but i don't think i could end up exactly like her cos i'm not on her i'm not on the same scale as her do you see what i mean? <B> i do 	people can completely alter their birth personality.	Contradiction
<B> which is not really any i could right we'll call it vibrations theory <A> yes <B> so erm 	the phrase "theory of everything" is used in the research field.	Contradiction
<B> erm yeah and then there's the physical you like the actual tangible you <A> yeah <B> but there's also the non-physical you right? now the non-physical you is always perfect and perfectly happy and ecstatic and everything's just ticking along nicely and what happens is 	according to religions, the human beings have body and soul.	Entailment
<A> by the way it doesn't you just have to like press the erm you do the <B> i did i did <A> yeah so it's still on just check i just suddenly thought what a good one this was and then i thought i bet it's not even on not not that you wouldn't be able to put it on but just one of those 	speaker a doesn't embrace herself/himself.	Contradiction
<B> i did i did <A> yeah so it's still on just check i just suddenly thought what a good one this was and then i thought i bet it's not even on not not that you wouldn't be able to put it on but just one of those <B> yeah 	speaker a uses a rather expensive makeup.	Neutral
<A> so my <B> she was on television the other day <A> was she? the japanese girl? 	joy was on the radio recently.	Contradiction
<A> it just wouldn't happen i just kept looking at each item and just going i just can't do this today and she said well that's one of the things you do have to be in the right mood and it was true cos <B> mm <A> the next day i did it and suddenly i had two bin liners full 	speaking a was getting ready to live for norway.	Contradiction
<A> but she said to me she'd read this whole book <B> mm <A> and it was basically the upshot of having read the whole book was you pick up an item it doesn't have to be clothes 	the book has 145 pages.	Neutral
<A> and then does it bring you any joy? <B> yeah <A> if not chuck it not i when was the last time i wore it? 	the clothes speaker was picking were mostly t-shirts.	Neutral
<A> other people are like oh my god i love this woman right because this is another thing why can't me and you think of something? so she she's been a tidy freak since she was fourteen there was one day when she was fourteen when she was tidying up and she nearly collapsed under the whole pressure of it like how badly she wanted it all to be perfect <B> really? <A> and it was like a sort of like epiphany moment 	the tidying book is 500 pages long.	Neutral
<B> it is getting better <A> it's getting a bit it's getting different but in in my feelings but even better like i'm feeling even more calm yeah so anyway your keys and stuff <B> so it took a a while but eventually i got everything from my mum's my dad's or anywhere other places that i'd left stuff and everything i now own more or less is in that four walled space and i know where everything is and i've got rid of so much stuff in the last in the few years since i've been there cos there ain't a lot of space there really 	speaker b left most of their stuff in their mother's place and only few things in her dad's place.	Neutral
<A> mm <B> i've had a a cull of books which is also like you've gotta be careful of books cos as much as they're things that you think you're gonna always use or refer back to or you wanna keep sometimes they can just take up too much space and they're no longer reflective of what you wanna <A> mm 	speaker b thinks that books need special treatment.	Entailment
<B> every three years yeah <A> i want to keep doing it so you know how i gave you back that keyring? <B> yes 	speaker b's grandma is no longer alive.	Entailment
<B> yeah <A> and then have to get one <B> yeah 	speaker a thinks keyrings are really cheap.	Entailment
<A> some somehow i'd ended up with like three so i had one that <B> mm <A> i was actually using i think it was a present probably from my sister 	speaker a's sister never gave anything to speaker a.	Contradiction
<B> no <D> no <B> i mean there might be more people in 	speaker b is doing a master program in statistics.	Neutral
<B> it might be erm obviously <C> a lot of the irish went to america too <B> there were probably more italians in 	many irish immigrated to america.	Entailment
<D> no it's got squash in it yours is on the side <B> i'll grab it <C> so 	many italians went to new york.	Neutral
<C> oh you're driving? <D> yeah <B> mm 	he/she drives a tesla.	Neutral
<D> i'm starting to i'm just starting to my bag is packed finally so <C> i'll give it twenty-four hours and you'll feel good <B> so when did you? 	speaker d hasn't packed his/her bag yet.	Contradiction
<D> and after paying for <C> what about dubai? isn't that nice to go to? <B> yes if we can get a job in dubai or uae or bahrain that'll be slightly more liberal 	person b know that person d is an artist	Contradiction
<D> and is <B> yes absolutely for one yeah i mean we both are kind of excited to live in a place that crazy we like travelling we've been in pretty crazy places so i mean living there for a year i it's a year we know how quickly a year goes <C> yeah it's challenging for you guys isn't it? it's exciting 	person c think it might be challenging for person b to traveling a lot and live in different places	Neutral
<B> yeah but if we get a job that's not there we're not explicitly going there i mean if we get a job in kazakhstan or iraq or any number of other places that also pay well then erm we don't need to get married then we may never sign the paper <C> mm <B> she might not even change her name 	person b is going to dance	Contradiction
<B> and she can have a different ring every time <C> so she's <B> and it's nice as well because she doesn't i told her that she doesn't need to feel like she's got to wear it all the time or anything or worry about it wear it when you want to wear it wear it when you 	person b believe that when ever you want feel right you can wear the things like the ring ,it is not mandatory	Entailment
<B> yeah she was pretty choked <D> mm <B> i thought she wouldn't be surprised i thought she'd expect it 	person b didnt know that meant a lot to her	Neutral
<C> yeah <B> she knows that <D> you're not those type of people 	person d think person b is a good dancer	Contradiction
<B> yeah the problem is as well there's dad <D> yes yeah <B> because likelihood is i'm going to be at dad's on the weekend which means i need to go there on friday 	there will be more people where speaker c will hoop up.	Neutral
<D> yeah <B> when would it be on friday? <D> but she'll be working on friday won't she? 	friday is not convenient for plans.	Entailment
<B> at the weekend? <C> i should imagine the weekend <B> yeah 	speaker c is hooking up late on friday.	Neutral
<C> oh god yeah <B> yeah well i'll get in contact with <D> and she can come round ours as well 	speaker b will contact a friend.	Neutral
<C> does she know <D> well she does but i said knowing <A> trick shot trick shot 	speaker b can see dad multiple times per week.	Entailment
<C> can't you stop it? <D> she's at work anyway <C> yeah i know but just to go hello hears his voice and it'll 	speaker b likes talking on the phone.	Neutral
<B> it just so happens this is the first as far as i know this is the first time they've ever made a recorded corpus so before they've they've made a written corpus so they did a corpus like ten years ago and that was three hundred million words that they input in the corpus so there's a body of language and this is what british english was ten years ago written and now they want a spoken one so they're paying <C> and what's <B> the same 	speaker c thinks speaker's b job is nice to make money.	Entailment
<C> i'm sure you'll pick up <B> yeah i mean there's plenty of language schools around there but i didn't want to be teaching this degree is going to be pretty full on so teaching's stressful let's say i just did ten hours teaching <D> but to sit there and have a conversation with your mates or whatever it's 	speaker b teaches italian.	Neutral
<B> it's pretty useful i may be able to get work transcribing it because they're going to have people listening to this phonologists and writing it in a completely different alphabet the one i was talking to you about <C> mm <B> so they'll be listening to what we're saying and writing it out in a completely different alphabet exactly how it sounds not the words but just the sound of the language i don't have as much training as i need in phonology to be able to do that but i'm getting there so within another couple of months if this is going well i might approach them and say hey you know do you want me to try and transcribe this? 	speaker b has good phonology skills at the moment.	Contradiction
<D> yeah okay <C> yeah and then can you just kind of like carry it upstairs and just leave it? <D> oh hold on a minute can't get it yet anyway because we need to put all those toys away 	speaker c wants speaker d to move the bed from the car.	Entailment
<C> i need to fill out and sign what? <B> this form <A> mummy don't put any of the blocks away 	τhe toys fit in five boxes.	Neutral
<A> not <D> okay can you do it then? <A> yeah 	today's date in 18th of june.	Neutral
<D> yeah? <B> it does look good <C> just little tweaks now like plumbing leaks 	they have a lot more to go on	Contradiction
<A> great as long as it's warm and dry <C> got <B> it is dry yeah 	it's dry because it's 40 degrees	Neutral
<F> get you with your two <C> mm i know <A> got two toilets? 	they got 4 toilets	Contradiction
<C> oh no <E> converted to a wet room at one stage <A> was it? 	when someone wanted to use it was very full of garbage	Entailment
<E> yeah <A> and really cramped as well hardly a wet room wet cupboard <F> wet cupboard 	it wasn't pleasant to take a bath in that room	Entailment
<F> it wouldn't be first choice for comfort <A> it was yeah if you <F> and lovely surroundings 	it is used only for very special and emergency situations	Entailment
<C> boycie <C> boycie boycie <E> yeah boycie 	they first met at a festival	Neutral
<E> yeah he's probably even more sick of <F> nothing i just dropped <E> everything 	speaker a was going to safeway	Contradiction
<C> oh <B> i met my hero didn't i? i text you remember? <C> yeah 	speaker b met someone they're a fan of	Entailment
<D> uhu <B> and there was like a big there used to be a big like erm biking event in <D> mm 	speaker b met a celebrity mountain climber	Contradiction
<D> oh cool <B> yeah he had all quite <B> people would lie on the floor and he was like jumping over them and he'd get his front wheel and then he'd put the front wheel onto there and 	speaker d thinks that's neat	Entailment
<F> you were just like <A> i didn't eat the cornetto <F> you didn't eat it you just let it just ran all the way you were just transfixed at this big 	speaker a got reminded of their young times because of a disney movie	Contradiction
